X T Z
-3.14159 0 -1
-3.12588 0 -0.999877
-3.11018 0 -0.999507
-3.09447 0 -0.99889
-3.07876 0 -0.998027
-3.06305 0 -0.996917
-3.04734 0 -0.995562
-3.03164 0 -0.993961
-3.01593 0 -0.992115
-3.00022 0 -0.990024
-2.98451 0 -0.987688
-2.96881 0 -0.985109
-2.9531 0 -0.982287
-2.93739 0 -0.979223
-2.92168 0 -0.975917
-2.90597 0 -0.97237
-2.89027 0 -0.968583
-2.87456 0 -0.964557
-2.85885 0 -0.960294
-2.84314 0 -0.955793
-2.82743 0 -0.951057
-2.81173 0 -0.946085
-2.79602 0 -0.940881
-2.78031 0 -0.935444
-2.7646 0 -0.929776
-2.74889 0 -0.92388
-2.73319 0 -0.917755
-2.71748 0 -0.911403
-2.70177 0 -0.904827
-2.68606 0 -0.898028
-2.67035 0 -0.891007
-2.65465 0 -0.883766
-2.63894 0 -0.876307
-2.62323 0 -0.868632
-2.60752 0 -0.860742
-2.59181 0 -0.85264
-2.57611 0 -0.844328
-2.5604 0 -0.835807
-2.54469 0 -0.827081
-2.52898 0 -0.81815
-2.51327 0 -0.809017
-2.49757 0 -0.799685
-2.48186 0 -0.790155
-2.46615 0 -0.78043
-2.45044 0 -0.770513
-2.43473 0 -0.760406
-2.41903 0 -0.750111
-2.40332 0 -0.739631
-2.38761 0 -0.728969
-2.3719 0 -0.718126
-2.35619 0 -0.707107
-2.34049 0 -0.695913
-2.32478 0 -0.684547
-2.30907 0 -0.673013
-2.29336 0 -0.661312
-2.27765 0 -0.649448
-2.26195 0 -0.637424
-2.24624 0 -0.625243
-2.23053 0 -0.612907
-2.21482 0 -0.60042
-2.19911 0 -0.587785
-2.18341 0 -0.575005
-2.1677 0 -0.562083
-2.15199 0 -0.549023
-2.13628 0 -0.535827
-2.12058 0 -0.522499
-2.10487 0 -0.509041
-2.08916 0 -0.495459
-2.07345 0 -0.481754
-2.05774 0 -0.46793
-2.04204 0 -0.45399
-2.02633 0 -0.439939
-2.01062 0 -0.425779
-1.99491 0 -0.411514
-1.9792 0 -0.397148
-1.9635 0 -0.382683
-1.94779 0 -0.368125
-1.93208 0 -0.353475
-1.91637 0 -0.338738
-1.90066 0 -0.323917
-1.88496 0 -0.309017
-1.86925 0 -0.29404
-1.85354 0 -0.278991
-1.83783 0 -0.263873
-1.82212 0 -0.24869
-1.80642 0 -0.233445
-1.79071 0 -0.218143
-1.775 0 -0.202787
-1.75929 0 -0.187381
-1.74358 0 -0.171929
-1.72788 0 -0.156434
-1.71217 0 -0.140901
-1.69646 0 -0.125333
-1.68075 0 -0.109734
-1.66504 0 -0.0941083
-1.64934 0 -0.0784591
-1.63363 0 -0.0627905
-1.61792 0 -0.0471065
-1.60221 0 -0.0314108
-1.5865 0 -0.0157073
-1.5708 0 2.83277e-16
-1.55509 0 0.0157073
-1.53938 0 0.0314108
-1.52367 0 0.0471065
-1.50796 0 0.0627905
-1.49226 0 0.0784591
-1.47655 0 0.0941083
-1.46084 0 0.109734
-1.44513 0 0.125333
-1.42942 0 0.140901
-1.41372 0 0.156434
-1.39801 0 0.171929
-1.3823 0 0.187381
-1.36659 0 0.202787
-1.35088 0 0.218143
-1.33518 0 0.233445
-1.31947 0 0.24869
-1.30376 0 0.263873
-1.28805 0 0.278991
-1.27235 0 0.29404
-1.25664 0 0.309017
-1.24093 0 0.323917
-1.22522 0 0.338738
-1.20951 0 0.353475
-1.19381 0 0.368125
-1.1781 0 0.382683
-1.16239 0 0.397148
-1.14668 0 0.411514
-1.13097 0 0.425779
-1.11527 0 0.439939
-1.09956 0 0.45399
-1.08385 0 0.46793
-1.06814 0 0.481754
-1.05243 0 0.495459
-1.03673 0 0.509041
-1.02102 0 0.522499
-1.00531 0 0.535827
-0.989602 0 0.549023
-0.973894 0 0.562083
-0.958186 0 0.575005
-0.942478 0 0.587785
-0.92677 0 0.60042
-0.911062 0 0.612907
-0.895354 0 0.625243
-0.879646 0 0.637424
-0.863938 0 0.649448
-0.84823 0 0.661312
-0.832522 0 0.673013
-0.816814 0 0.684547
-0.801106 0 0.695913
-0.785398 0 0.707107
-0.76969 0 0.718126
-0.753982 0 0.728969
-0.738274 0 0.739631
-0.722566 0 0.750111
-0.706858 0 0.760406
-0.69115 0 0.770513
-0.675442 0 0.78043
-0.659734 0 0.790155
-0.644026 0 0.799685
-0.628319 0 0.809017
-0.612611 0 0.81815
-0.596903 0 0.827081
-0.581195 0 0.835807
-0.565487 0 0.844328
-0.549779 0 0.85264
-0.534071 0 0.860742
-0.518363 0 0.868632
-0.502655 0 0.876307
-0.486947 0 0.883766
-0.471239 0 0.891007
-0.455531 0 0.898028
-0.439823 0 0.904827
-0.424115 0 0.911403
-0.408407 0 0.917755
-0.392699 0 0.92388
-0.376991 0 0.929776
-0.361283 0 0.935444
-0.345575 0 0.940881
-0.329867 0 0.946085
-0.314159 0 0.951057
-0.298451 0 0.955793
-0.282743 0 0.960294
-0.267035 0 0.964557
-0.251327 0 0.968583
-0.235619 0 0.97237
-0.219911 0 0.975917
-0.204204 0 0.979223
-0.188496 0 0.982287
-0.172788 0 0.985109
-0.15708 0 0.987688
-0.141372 0 0.990024
-0.125664 0 0.992115
-0.109956 0 0.993961
-0.0942478 0 0.995562
-0.0785398 0 0.996917
-0.0628319 0 0.998027
-0.0471239 0 0.99889
-0.0314159 0 0.999507
-0.015708 0 0.999877
4.44089e-16 0 1
0.015708 0 0.999877
0.0314159 0 0.999507
0.0471239 0 0.99889
0.0628319 0 0.998027
0.0785398 0 0.996917
0.0942478 0 0.995562
0.109956 0 0.993961
0.125664 0 0.992115
0.141372 0 0.990024
0.15708 0 0.987688
0.172788 0 0.985109
0.188496 0 0.982287
0.204204 0 0.979223
0.219911 0 0.975917
0.235619 0 0.97237
0.251327 0 0.968583
0.267035 0 0.964557
0.282743 0 0.960294
0.298451 0 0.955793
0.314159 0 0.951057
0.329867 0 0.946085
0.345575 0 0.940881
0.361283 0 0.935444
0.376991 0 0.929776
0.392699 0 0.92388
0.408407 0 0.917755
0.424115 0 0.911403
0.439823 0 0.904827
0.455531 0 0.898028
0.471239 0 0.891007
0.486947 0 0.883766
0.502655 0 0.876307
0.518363 0 0.868632
0.534071 0 0.860742
0.549779 0 0.85264
0.565487 0 0.844328
0.581195 0 0.835807
0.596903 0 0.827081
0.612611 0 0.81815
0.628319 0 0.809017
0.644026 0 0.799685
0.659734 0 0.790155
0.675442 0 0.78043
0.69115 0 0.770513
0.706858 0 0.760406
0.722566 0 0.750111
0.738274 0 0.739631
0.753982 0 0.728969
0.76969 0 0.718126
0.785398 0 0.707107
0.801106 0 0.695913
0.816814 0 0.684547
0.832522 0 0.673013
0.84823 0 0.661312
0.863938 0 0.649448
0.879646 0 0.637424
0.895354 0 0.625243
0.911062 0 0.612907
0.92677 0 0.60042
0.942478 0 0.587785
0.958186 0 0.575005
0.973894 0 0.562083
0.989602 0 0.549023
1.00531 0 0.535827
1.02102 0 0.522499
1.03673 0 0.509041
1.05243 0 0.495459
1.06814 0 0.481754
1.08385 0 0.46793
1.09956 0 0.45399
1.11527 0 0.439939
1.13097 0 0.425779
1.14668 0 0.411514
1.16239 0 0.397148
1.1781 0 0.382683
1.19381 0 0.368125
1.20951 0 0.353475
1.22522 0 0.338738
1.24093 0 0.323917
1.25664 0 0.309017
1.27235 0 0.29404
1.28805 0 0.278991
1.30376 0 0.263873
1.31947 0 0.24869
1.33518 0 0.233445
1.35088 0 0.218143
1.36659 0 0.202787
1.3823 0 0.187381
1.39801 0 0.171929
1.41372 0 0.156434
1.42942 0 0.140901
1.44513 0 0.125333
1.46084 0 0.109734
1.47655 0 0.0941083
1.49226 0 0.0784591
1.50796 0 0.0627905
1.52367 0 0.0471065
1.53938 0 0.0314108
1.55509 0 0.0157073
1.5708 0 6.12323e-17
1.5865 0 -0.0157073
1.60221 0 -0.0314108
1.61792 0 -0.0471065
1.63363 0 -0.0627905
1.64934 0 -0.0784591
1.66504 0 -0.0941083
1.68075 0 -0.109734
1.69646 0 -0.125333
1.71217 0 -0.140901
1.72788 0 -0.156434
1.74358 0 -0.171929
1.75929 0 -0.187381
1.775 0 -0.202787
1.79071 0 -0.218143
1.80642 0 -0.233445
1.82212 0 -0.24869
1.83783 0 -0.263873
1.85354 0 -0.278991
1.86925 0 -0.29404
1.88496 0 -0.309017
1.90066 0 -0.323917
1.91637 0 -0.338738
1.93208 0 -0.353475
1.94779 0 -0.368125
1.9635 0 -0.382683
1.9792 0 -0.397148
1.99491 0 -0.411514
2.01062 0 -0.425779
2.02633 0 -0.439939
2.04204 0 -0.45399
2.05774 0 -0.46793
2.07345 0 -0.481754
2.08916 0 -0.495459
2.10487 0 -0.509041
2.12058 0 -0.522499
2.13628 0 -0.535827
2.15199 0 -0.549023
2.1677 0 -0.562083
2.18341 0 -0.575005
2.19911 0 -0.587785
2.21482 0 -0.60042
2.23053 0 -0.612907
2.24624 0 -0.625243
2.26195 0 -0.637424
2.27765 0 -0.649448
2.29336 0 -0.661312
2.30907 0 -0.673013
2.32478 0 -0.684547
2.34049 0 -0.695913
2.35619 0 -0.707107
2.3719 0 -0.718126
2.38761 0 -0.728969
2.40332 0 -0.739631
2.41903 0 -0.750111
2.43473 0 -0.760406
2.45044 0 -0.770513
2.46615 0 -0.78043
2.48186 0 -0.790155
2.49757 0 -0.799685
2.51327 0 -0.809017
2.52898 0 -0.81815
2.54469 0 -0.827081
2.5604 0 -0.835807
2.57611 0 -0.844328
2.59181 0 -0.85264
2.60752 0 -0.860742
2.62323 0 -0.868632
2.63894 0 -0.876307
2.65465 0 -0.883766
2.67035 0 -0.891007
2.68606 0 -0.898028
2.70177 0 -0.904827
2.71748 0 -0.911403
2.73319 0 -0.917755
2.74889 0 -0.92388
2.7646 0 -0.929776
2.78031 0 -0.935444
2.79602 0 -0.940881
2.81173 0 -0.946085
2.82743 0 -0.951057
2.84314 0 -0.955793
2.85885 0 -0.960294
2.87456 0 -0.964557
2.89027 0 -0.968583
2.90597 0 -0.97237
2.92168 0 -0.975917
2.93739 0 -0.979223
2.9531 0 -0.982287
2.96881 0 -0.985109
2.98451 0 -0.987688
3.00022 0 -0.990024
3.01593 0 -0.992115
3.03164 0 -0.993961
3.04734 0 -0.995562
3.06305 0 -0.996917
3.07876 0 -0.998027
3.09447 0 -0.99889
3.11018 0 -0.999507
3.12588 0 -0.999877
3.14159 0 -1
-3.14159 0.0125 -0.999548
-3.12588 0.0125 -0.997965
-3.11018 0.0125 -0.996659
-3.09447 0.0125 -0.995547
-3.07876 0.0125 -0.994551
-3.06305 0.0125 -0.9936
-3.04734 0.0125 -0.99263
-3.03164 0.0125 -0.991586
-3.01593 0.0125 -0.99042
-3.00022 0.0125 -0.989093
-2.98451 0.0125 -0.98757
-2.96881 0.0125 -0.985826
-2.9531 0.0125 -0.98384
-2.93739 0.0125 -0.981597
-2.92168 0.0125 -0.979087
-2.90597 0.0125 -0.9763
-2.89027 0.0125 -0.973235
-2.87456 0.0125 -0.969889
-2.85885 0.0125 -0.966263
-2.84314 0.0125 -0.962359
-2.82743 0.0125 -0.95818
-2.81173 0.0125 -0.953731
-2.79602 0.0125 -0.949015
-2.78031 0.0125 -0.944037
-2.7646 0.0125 -0.938803
-2.74889 0.0125 -0.933317
-2.73319 0.0125 -0.927585
-2.71748 0.0125 -0.92161
-2.70177 0.0125 -0.915396
-2.68606 0.0125 -0.908949
-2.67035 0.0125 -0.902272
-2.65465 0.0125 -0.895367
-2.63894 0.0125 -0.888239
-2.62323 0.0125 -0.880891
-2.60752 0.0125 -0.873324
-2.59181 0.0125 -0.865543
-2.57611 0.0125 -0.857548
-2.5604 0.0125 -0.849344
-2.54469 0.0125 -0.840931
-2.52898 0.0125 -0.832313
-2.51327 0.0125 -0.823491
-2.49757 0.0125 -0.814467
-2.48186 0.0125 -0.805244
-2.46615 0.0125 -0.795824
-2.45044 0.0125 -0.786209
-2.43473 0.0125 -0.776401
-2.41903 0.0125 -0.766403
-2.40332 0.0125 -0.756217
-2.38761 0.0125 -0.745844
-2.3719 0.0125 -0.735288
-2.35619 0.0125 -0.724552
-2.34049 0.0125 -0.713637
-2.32478 0.0125 -0.702546
-2.30907 0.0125 -0.691282
-2.29336 0.0125 -0.679848
-2.27765 0.0125 -0.668246
-2.26195 0.0125 -0.656479
-2.24624 0.0125 -0.64455
-2.23053 0.0125 -0.632462
-2.21482 0.0125 -0.620218
-2.19911 0.0125 -0.607821
-2.18341 0.0125 -0.595274
-2.1677 0.0125 -0.58258
-2.15199 0.0125 -0.569742
-2.13628 0.0125 -0.556763
-2.12058 0.0125 -0.543647
-2.10487 0.0125 -0.530397
-2.08916 0.0125 -0.517016
-2.07345 0.0125 -0.503507
-2.05774 0.0125 -0.489874
-2.04204 0.0125 -0.47612
-2.02633 0.0125 -0.462249
-2.01062 0.0125 -0.448264
-1.99491 0.0125 -0.434167
-1.9792 0.0125 -0.419964
-1.9635 0.0125 -0.405657
-1.94779 0.0125 -0.39125
-1.93208 0.0125 -0.376747
-1.91637 0.0125 -0.36215
-1.90066 0.0125 -0.347465
-1.88496 0.0125 -0.332693
