X T Z
-3.14159 0 1
-3.12588 0 1
-3.11018 0 1
-3.09447 0 1
-3.07876 0 1
-3.06305 0 1
-3.04734 0 1
-3.03164 0 1
-3.01593 0 1
-3.00022 0 1
-2.98451 0 1
-2.96881 0 1
-2.9531 0 1
-2.93739 0 1
-2.92168 0 1
-2.90597 0 1
-2.89027 0 1
-2.87456 0 1
-2.85885 0 1
-2.84314 0 1
-2.82743 0 1
-2.81173 0 1
-2.79602 0 1
-2.78031 0 1
-2.7646 0 1
-2.74889 0 1
-2.73319 0 1
-2.71748 0 1
-2.70177 0 1
-2.68606 0 1
-2.67035 0 1
-2.65465 0 1
-2.63894 0 1
-2.62323 0 1
-2.60752 0 1
-2.59181 0 1
-2.57611 0 1
-2.5604 0 1
-2.54469 0 1
-2.52898 0 1
-2.51327 0 1
-2.49757 0 1
-2.48186 0 1
-2.46615 0 1
-2.45044 0 1
-2.43473 0 1
-2.41903 0 1
-2.40332 0 1
-2.38761 0 1
-2.3719 0 1
-2.35619 0 1
-2.34049 0 1
-2.32478 0 1
-2.30907 0 1
-2.29336 0 1
-2.27765 0 1
-2.26195 0 1
-2.24624 0 1
-2.23053 0 1
-2.21482 0 1
-2.19911 0 1
-2.18341 0 1
-2.1677 0 1
-2.15199 0 1
-2.13628 0 1
-2.12058 0 1
-2.10487 0 1
-2.08916 0 1
-2.07345 0 1
-2.05774 0 1
-2.04204 0 1
-2.02633 0 1
-2.01062 0 1
-1.99491 0 1
-1.9792 0 1
-1.9635 0 1
-1.94779 0 1
-1.93208 0 1
-1.91637 0 1
-1.90066 0 1
-1.88496 0 1
-1.86925 0 1
-1.85354 0 1
-1.83783 0 1
-1.82212 0 1
-1.80642 0 1
-1.79071 0 1
-1.775 0 1
-1.75929 0 1
-1.74358 0 1
-1.72788 0 1
-1.71217 0 1
-1.69646 0 1
-1.68075 0 1
-1.66504 0 1
-1.64934 0 1
-1.63363 0 1
-1.61792 0 1
-1.60221 0 1
-1.5865 0 1
-1.5708 0 1
-1.55509 0 1
-1.53938 0 1
-1.52367 0 1
-1.50796 0 1
-1.49226 0 1
-1.47655 0 1
-1.46084 0 1
-1.44513 0 1
